JMENO,POHLAVI,EKVIVALENC,PAD2,PAD3,PAD4,PAD5,PAD6,PAD7,CLOVEK,ELF,TRPASLIK,HOBIT,KUDUK,BARBAR,KROLL,VALECNIK,HRANICAR,ALCHYMISTA,KOUZELNIK,ZLODEJ
Carlyle,F,3312.0,Carlyle,Carlyle,Carlyle,Carlyle,Carlyle,Carlyle,1,1,0,0,0,1,0,1,1,1,1,1
Carmel,M,3093.0,Carmela,Carmelovi,Carmela,Carmele,Carmelovi,Carmelem,1,1,0,0,0,1,0,1,1,1,1,1
Carmela,F,140.0,Carmely,Carmele,Carmelu,Carmelo,Carmele,Carmelou,1,1,0,1,1,0,0,1,1,1,1,1
Carmelo,M,3093.0,Carmela,Carmelovi,Carmela,Carmelo,Carmelovi,Carmelem,1,1,0,0,0,1,0,1,1,1,1,1
Carn,M,,Carna,Carnovi,Carna,Carne,Carnovi,Carnem,1,1,0,0,0,1,0,1,1,1,1,1
Carnil,M,,Carnila,Carnilovi,Carnila,Carnile,Carnilovi,Carnilem,1,1,0,0,0,1,0,1,1,1,1,1
Carol,F,143.0,Carol,Carol,Carol,Carol,Carol,Carol,1,0,0,0,0,1,0,1,1,1,1,1
Carola,F,143.0,Caroly,Carole,Carolu,Carolo,Carole,Carolou,1,0,0,0,0,1,0,1,1,1,1,1
Caroline,F,143.0,Caroline,Caroline,Caroline,Caroline,Caroline,Caroline,1,0,0,0,0,1,0,1,1,1,1,1
Carolyn,F,143.0,Carolyn,Carolyn,Carolyn,Carolyn,Carolyn,Carolyn,1,0,0,0,0,1,0,1,1,1,1,1
Caron,M,,Carona,Caronovi,Carona,Carone,Caronovi,Caronem,1,1,0,0,0,0,0,1,1,1,1,1
Carragen,M,2164.0,Carragena,Carragenovi,Carragena,Carragene,Carragenovi,Carragenem,1,1,0,0,0,1,0,1,1,1,1,1
Carragn,M,2164.0,Carragna,Carragnovi,Carragna,Carragne,Carragnovi,Carragnem,1,1,0,0,0,1,0,1,1,1,1,1
Carrie,F,,Carrie,Carrie,Carrie,Carrie,Carrie,Carrie,1,0,0,0,0,1,0,1,1,1,1,1
Carsa,F,,Carsy,Carse,Carsu,Carso,Carse,Carsou,1,1,0,0,0,1,0,1,1,1,1,1
Carson,M,142.0,Carsona,Carsonovi,Carsona,Carsone,Carsonovi,Carsonem,1,1,0,0,0,0,0,1,1,1,1,1
Carsone,M,142.0,Carsoneho,Carsonemu,Carsoneho,Carsone,Casronem,Carsonem,1,0,0,0,0,1,0,1,1,1,1,1
Carston,M,1692.0,Carstona,Carstonovi,Carstona,Carstone,Carstonovi,Carstonem,1,0,0,0,0,1,0,1,1,1,1,1
Carter,M,,Cartera,Carterovi,Cartera,Cartere,Carterovi,Carterem,1,1,0,0,0,1,0,1,1,1,1,1
Carthos,M,,Carthose,Carthosovi,Carthose,Carthosi,Carthosovi,Carthosem,1,1,0,0,0,0,0,1,1,1,1,1
Carun,M,,Caruna,Carunovi,Caruna,Carune,Carunovi,Carunem,0,1,0,0,0,0,0,1,1,1,1,1
Caruso,M,3581.0,Carusa,Carusovi,Carusa,Caruso,Carusovi,Carusem,1,1,0,0,0,1,0,1,1,1,1,1
Carusso,M,3581.0,Carussa,Carussovi,Carussa,Carusso,Carussovi,Carussem,1,1,0,0,0,1,0,1,1,1,1,1
Carva,F,,Carvy,Carve,Carvu,Carvo,Carve,Carvou,1,1,0,1,1,1,0,1,1,1,1,1
Carver,M,,Carvera,Carverovi,Carvera,Carvere,Carverovi,Carverem,1,1,0,0,0,0,0,1,1,1,1,1
Caryn,F,141.0,Caryn,Caryn,Caryn,Caryn,Caryn,Caryn,1,1,0,0,0,1,0,1,1,1,1,1
Casals,M,,Casalse,Casalsovi,Casalse,Casalsi,Casalsovi,Casalsem,0,1,0,0,0,0,0,1,1,1,1,1
Casandra,F,144.0,Casandry,Casandre,Casandru,Casandro,Casandre,Casandrou,1,1,0,0,0,0,0,1,1,1,1,1
Cascia,F,,Cascie,Cascie,Casciu,Cascio,Cascie,Casciou,1,1,0,0,0,0,0,1,1,1,1,1
Cascie,F,,Cascie,Cascii,Cascii,Cascie,Cascii,CasciĄ,1,1,0,0,0,0,0,1,1,1,1,1
Casea,F,3541.0,Casey,Casee,Caseu,Caseo,Casee,Caseou,1,1,0,0,0,1,0,1,1,1,1,1
Caseo,M,3542.0,Casea,Caseovi,Casea,Caseo,Caseovi,Caseem,1,1,0,0,0,1,0,1,1,1,1,1
Caseus,M,3541.0,Casea,Caseovi,Casea,Casee,Caseovi,Caseem,1,1,0,0,0,1,0,1,1,1,1,1
Casey,F,,Casey,Casey,Casey,Casey,Casey,Casey,1,0,0,0,0,0,0,1,1,1,1,1
Casey,M,,Caseyho,Caseymu,Caseyho,Casey,Caseym,Caseym,1,0,0,0,0,0,0,1,1,1,1,1
Cashi,F,3655.0,Cashi,Cashi,Cashi,Cashi,Cashi,Cashi,1,1,0,0,0,1,0,1,1,1,1,1
Cashia,F,3655.0,Cashie,Cashie,Cashiu,Cashio,Cashie,Cashiou,1,1,0,0,0,1,0,1,1,1,1,1
Cashya,F,3655.0,Cashye,Cashye,Cashyu,Cashyo,Cashye,Cashyou,1,1,0,0,0,1,0,1,1,1,1,1
Casim,M,3023.0,Casima,Casimovi,Casima,Casime,Casimovi,Casimem,1,1,0,0,0,1,0,1,1,1,1,1
Casiorn,M,,Casiorna,Casiornovi,Casiorna,Casiorne,Casiornovi,Casiornem,0,1,0,0,0,0,0,1,1,1,1,1
Caslon,M,,Caslona,Caslonovi,Caslona,Caslone,Caslonovi,Caslonem,0,1,0,0,0,0,0,1,1,1,1,1
Cassandra,F,144.0,Cassandry,Cassandre,Cassandru,Cassandro,Cassandre,Cassandrou,1,1,0,0,0,0,0,1,1,1,1,1
Cassea,F,3541.0,Cassey,Cassee,Casseu,Casseo,Cassee,Casseou,1,1,0,0,0,1,0,1,1,1,1,1
Casseo,M,3542.0,Cassea,Casseovi,Cassea,Casseo,Casseovi,Casseem,1,1,0,0,0,1,0,1,1,1,1,1
Casseus,M,3541.0,Cassea,Casseovi,Cassea,Cassee,Casseovi,Casseem,1,1,0,0,0,1,0,1,1,1,1,1
Cassidy,F,,Cassidy,Cassidy,Cassidy,Cassidy,Cassidy,Cassidy,1,1,0,0,0,1,0,1,1,1,1,1
Cassie,F,144.0,Cassie,Cassie,Cassie,Cassie,Cassie,Cassie,1,0,0,0,0,1,0,1,1,1,1,1
Cassim,M,3023.0,Cassima,Cassimovi,Cassima,Cassime,Cassimovi,Cassimem,1,1,0,0,0,1,0,1,1,1,1,1
Cassimir,M,3024.0,Cassimira,Cassimirovi,Cassimira,Cassimire,Cassimirovi,Cassimirem,1,1,0,0,0,1,0,1,1,1,1,1
Cassimira,F,3025.0,Cassimiry,Cassimire,Cassimiru,Cassimiro,Cassimire,Cassimirou,1,1,0,0,0,1,0,1,1,1,1,1
Cassimiro,M,3024.0,Cassimira,Cassimirovi,Cassimira,Cassimire,Cassimirovi,Cassimirem,1,1,0,0,0,1,0,1,1,1,1,1
Cassio,M,146.0,Cassia,Cassiovi,Cassia,Cassio,Cassiovi,Cassiem,1,1,0,0,0,0,0,1,1,1,1,1
Cassiopea,F,145.0,Cassiopey,Cassiopee,Cassiopeu,Cassipeo,Cassiopee,Casiopeou,1,1,0,0,0,0,0,1,1,1,1,1
Cassiopeia,F,145.0,Cassiopeie,Cassiopeie,Cassiopeiu,Cassiopeio,Cassiopeie,Cassiopeiou,1,1,0,0,0,0,0,1,1,1,1,1
Cassius,M,146.0,Cassia,Cassiovi,Cassia,Cassie,Cassiovi,Cassiem,0,1,0,0,0,0,0,1,1,1,1,1
Cassy,F,144.0,Cassy,Cassy,Cassy,Cassy,Cassy,Cassy,1,1,0,1,1,1,0,1,1,1,1,1
Castor,M,643.0,Castora,Castorovi,Castora,Castore,Castorovi,Castorem,1,1,0,0,0,0,0,1,1,1,1,1
Catalina,F,141.0,Cataliny,Cataline,Catalinu,Catalino,Cataline,Catalinou,1,1,0,0,0,1,0,1,1,1,1,1
Catallina,F,141.0,Catalliny,Catalline,Catallinu,Catallino,Catalline,Catallinou,1,1,0,0,0,1,0,1,1,1,1,1
Caterina,F,141.0,Cateriny,Caterine,Caterinu,Caterino,Caterine,Caterinou,1,1,0,0,0,1,0,1,1,1,1,1
Caterine,F,141.0,Caterine,Caterine,Caterine,Caterine,Caterine,Caterine,1,1,0,0,0,1,0,1,1,1,1,1
Catharika,F,2186.0,Cathariky,Catharice,Cathariku,Cathariko,Catharice,Catharikou,1,1,0,0,0,0,0,1,1,1,1,1
Catharik,F,2186.0,Catharik,Catharik,Catharik,Catharik,Catharik,Catharik,1,1,0,0,0,0,0,1,1,1,1,1
Catharine,F,141.0,Catharine,Catharine,Catharine,Catharine,Catharine,Catharine,1,0,0,0,0,1,0,1,1,1,1,1
Catherina,F,141.0,Catheriny,Catherine,Catherinu,Catherino,Catherine,Catherinou,1,0,0,0,0,1,0,1,1,1,1,1
Catherine,F,141.0,Catherine,Catherine,Catherine,Catherine,Catherine,Catherine,1,0,0,0,0,1,0,1,1,1,1,1
Cathrin,F,141.0,Cathrin,Cathrin,Cathrin,Cathrin,Cathrin,Cathrin,1,0,0,0,0,1,0,1,1,1,1,1
Cathrine,F,141.0,Cathrine,Cathrine,Cathrine,Cathrine,Cathrine,Cathrine,1,0,0,0,0,1,0,1,1,1,1,1
Cathryn,F,141.0,Cathryn,Cathryn,Cathryn,Cathryn,Cathryn,Cathryn,1,0,0,0,0,1,0,1,1,1,1,1
Cathryne,F,141.0,Cathryne,Cathryne,Cathryne,Cathryne,Cathryne,Cathryne,1,0,0,0,0,1,0,1,1,1,1,1
Cathy,F,141.0,Cathy,Cathy,Cathy,Cathy,Cathy,Cathy,1,0,0,0,0,1,0,1,1,1,1,1
Catima,F,2188.0,Catimy,Catime,Catimu,Catimo,Catime,Catimou,1,1,0,0,0,1,0,1,1,1,1,1
Catimus,M,2187.0,Catima,Catimovi,Catima,Catime,Catimovi,Catimem,1,1,0,0,0,1,0,1,1,1,1,1
Catlet,M,3205.0,Catleta,Catletovi,Catleta,Catlete,Catletovi,Catletem,1,1,0,0,0,1,0,1,1,1,1,1
Catlett,M,3205.0,Catletta,Catlettovi,Catletta,Catlette,Catlettovi,Catlettem,1,1,0,0,0,1,0,1,1,1,1,1
Cato,M,644.0,Cata,Catovi,Cata,Cato,Catovi,Catem,1,1,0,0,0,0,0,1,1,1,1,1
Cattack,M,,Cattacka,Cattackovi,Cattacka,Cattacku,Cattackovi,Cattackem,1,1,0,0,0,1,0,1,1,1,1,1
Caturak,M,,Caturaka,Caturakovi,Caturaka,Caturaku,Caturakovi,Caturakem,1,1,0,0,0,0,0,1,1,1,1,1
Cauley,M,3479.0,Cauleyho,Cauleymu,Cauleyho,Cauley,Cauleym,Cauleym,1,0,0,0,0,1,0,1,1,1,1,1
Cauly,M,3479.0,Caulyho,Caulymu,Caulyho,Cauly,Caulym,Caulym,1,0,0,0,0,1,0,1,1,1,1,1
Causterna,F,147.0,Causterny,Causterne,Causternu,Causterno,Causterne,Causternou,1,1,0,0,0,1,0,1,1,1,1,1
Causternie,F,147.0,Causternie,Causternii,Causternii,Causternie,Causternii,CausterniĄ,1,1,0,0,0,0,0,1,1,1,1,1
Cautera,F,,Cautery,Cautere,Cauteru,Cautero,Cautere,Cauterou,1,1,0,0,0,0,0,1,1,1,1,1
Cauternus,M,,Causterna,Causternovi,Causterna,Causterne,Causternovi,Causternem,1,1,0,0,0,0,0,1,1,1,1,1
Cauterous,M,,Cauterouse,Cauterousovi,Cauterouse,Cauterousi,Cauterousovi,Cauterousem,1,1,0,0,0,1,0,1,1,1,1,1
Cauterus,M,,Cautera,Cauterovi,Cautera,Cautere,Cauterovi,Cauterem,1,1,0,0,0,0,0,1,1,1,1,1
Cava,F,1902.0,Cavy,Cave,Cavu,Cavo,Cave,Cavou,1,1,0,0,0,0,0,1,1,1,1,1
Cavel,M,148.0,Cavela,Cavelovi,Cavela,Cavele,Cavelovi,Cavelem,1,1,0,0,0,1,0,1,1,1,1,1
Cavva,F,1902.0,Cavvy,Cavve,Cavvu,Cavvo,Cavve,Cavvou,0,1,0,0,0,0,0,1,1,1,1,1
Caya,F,113.0,Caye,Caye,Cayu,Cayo,Caye,Cayou,1,1,0,0,0,0,0,1,1,1,1,1
Cearta,F,,Cearty,Cearte,Ceartu,Cearto,Cearte,Ceartou,1,1,0,0,1,1,0,1,1,1,1,1
Cecelia,F,3206.0,Cecelie,Cecelie,Ceceliu,Cecelio,Cecelie,Ceceliou,1,1,0,0,0,1,0,1,1,1,1,1
Cecelie,F,3206.0,Cecelie,Cecelii,Cecelii,Cecelie,Cecelii,CeceliĄ,1,1,0,1,1,1,0,1,1,1,1,1
Ceclie,F,3206.0,Ceclie,Ceclii,Ceclii,Ceclie,Ceclii,CecliĄ,1,1,0,1,1,1,0,1,1,1,1,1
Cecil,M,,Cecila,Cecilovi,Cecila,Cecile,Cecilovi,Cecilem,1,0,0,1,1,1,1,1,1,1,1,1
Cecilia,F,149.0,Cecilie,Cecilie,Ceciliu,Cecilio,Cecilie,Ceciliou,1,0,0,0,0,1,0,1,1,1,1,1
Cecilie,F,149.0,Cecilie,Cecilii,Cecilii,Cecilie,Cecilii,CeciliĄ,1,0,0,1,1,1,0,1,1,1,1,1
CecĄlie,F,149.0,CecĄlie,CecĄlii,CecĄlii,CecĄlie,CecĄlii,CecĄliĄ,1,0,0,1,1,1,1,1,1,1,1,1
Cecilka,F,149.0,Cecilky,Cecilce,Cecilku,Cecilko,Cecilce,Cecilkou,1,0,0,1,1,1,0,1,1,1,1,1
Cedric,M,150.0,Cedrica,Cedricovi,Cedrica,Cedricu,Cedricovi,Cedricem,1,0,0,0,0,0,0,1,1,1,1,1
Cedrik,M,150.0,Cedrika,Cedrikovi,Cedrika,Cedriku,Cedrikovi,Cedrikem,1,0,0,0,0,1,0,1,1,1,1,1
Ceilbol,M,,Ceilbola,Ceilbolovi,Ceilbola,Ceilbole,Ceilbolovi,Ceilbolem,1,1,0,0,0,0,0,1,1,1,1,1
Celeb,M,,Celeba,Celebovi,Celeba,Celebe,Celebovi,Celebem,0,1,0,0,0,0,0,1,1,1,1,1
Celeborn,M,,Celeborna,Celebornovi,Celeborna,Celeborne,Celebornovi,Celebornem,1,1,0,0,0,0,0,1,1,1,1,1
Celebran,M,151.0,Celebrana,Celebranovi,Celebrana,Celebrane,Celebranovi,Celebranem,1,1,0,0,0,1,0,1,1,1,1,1
Celebrandir,M,,Celebrandira,Celebrandirovi,Celebrandira,Celebrandire,Celebrandirovi,Celebrandirem,1,1,0,1,0,0,0,1,1,1,1,1
Celebrant,M,,Celebranta,Celebrantovi,Celebranta,Celebrante,Celebrantovi,Celebrantem,1,1,0,1,1,1,0,1,1,1,1,1
Celebren,M,151.0,Celebrena,Celebrenovi,Celebrena,Celebrene,Celebrenovi,Celebrenem,1,1,0,0,0,1,0,1,1,1,1,1
Celebrian,M,151.0,Celebriana,Celebrianovi,Celebriana,Celebriane,Celebrianovi,Celebrianem,1,1,0,1,0,1,0,1,1,1,1,1
CelebrĄan,M,151.0,CelebrĄana,CelebrĄanovi,CelebrĄana,CelebrĄane,CelebrĄanovi,CelebrĄanem,0,1,0,0,0,0,0,1,1,1,1,1
Celebril,M,,Celebrila,Celebrilovi,Celebrila,Celebrile,Celebrilovi,Celebrilem,1,1,0,0,0,1,0,1,1,1,1,1
Celebrimbor,M,,Celebrimbora,Celebrimborovi,Celebrimbora,Celebrimbore,Celebrimborovi,Celebrimborem,1,1,0,1,0,0,0,1,1,1,1,1
Celebrimor,M,,Celebrimora,Celebrimorovi,Celebrimora,Celebrimore,Celebrimorovi,Celebrimorem,1,1,0,0,0,0,0,1,1,1,1,1
Celebrindal,M,,Celebrindala,Celebrindalovi,Celebrindala,Celebrindale,Celebrindalovi,Celebrindalem,1,1,0,1,0,0,0,1,1,1,1,1
Celebron,M,151.0,Celebrona,Celebronovi,Celebrona,Celebrone,Celebronovi,Celebronem,1,1,0,0,0,1,0,1,1,1,1,1
Celebros,M,,Celebrose,Celebrosovi,Celebrose,Celebrosi,Celebrosovi,Celebrosem,1,1,0,0,0,1,0,1,1,1,1,1
Celegorm,M,,Celegorma,Celegormovi,Celegorma,Celegorme,Celegormovi,Celegormem,0,1,0,0,0,0,0,1,1,1,1,1
Celerin,F,,Celerin,Celerin,Celerin,Celerin,Celerin,Celerin,1,1,0,0,0,1,0,1,1,1,1,1
Celerin,M,,Celerina,Celerinovi,Celerina,Celerine,Celerinovi,Celerinem,1,1,0,0,0,1,0,1,1,1,1,1
Celeron,M,,Celerona,Celeronovi,Celerona,Celerone,Celeronovi,Celeronem,1,1,0,1,0,1,0,1,1,1,1,1
Celesta,F,152.0,Celesty,Celeste,Celestu,Celesto,Celeste,Celestou,1,0,0,0,0,0,0,1,1,1,1,1
Celeste,F,152.0,Celeste,Celeste,Celeste,Celeste,Celeste,Celeste,1,0,0,0,0,1,0,1,1,1,1,1
Celestin,M,3085.0,Celestina,Celestinovi,Celestina,Celestine,Celestinovi,Celestinem,1,0,0,0,0,1,0,1,1,1,1,1
Celestina,F,152.0,Celestiny,Celestine,Celestinu,Celestino,Celestine,Celestinou,1,0,0,0,0,1,0,1,1,1,1,1
Celestine,F,152.0,Celestine,Celestine,Celestine,Celestine,Celestine,Celestine,1,0,0,0,0,1,0,1,1,1,1,1
Celestine,M,3085.0,Celestineho,Celestinemu,Celestineho,Celestine,Celestinem,Celestinem,1,0,0,0,0,1,0,1,1,1,1,1
Celestino,M,3085.0,Celestina,Celestinovi,Celestina,Celestino,Celestinovi,Celestinem,1,0,0,0,0,1,0,1,1,1,1,1
Celestyn,M,3085.0,Celestyna,Celestynovi,Celestyna,Celestyne,Celestynovi,Celestynem,1,0,0,1,1,1,1,1,1,1,1,1
Celestyna,F,152.0,Celestyny,Celestyne,Celestynu,Celestyno,Celestyne,Celestynou,1,0,0,1,1,1,1,1,1,1,1,1
Celestynka,F,152.0,Celestynky,Celestynce,Celestynku,Celestynko,Celestynce,Celestynkou,0,0,0,1,0,0,0,1,1,1,1,1
Celia,F,,Celie,Celii,Celiu,Celio,Celie,Celiou,1,1,0,1,1,1,0,1,1,1,1,1
Celibol,M,,Celibola,Celibolovi,Celibola,Celibole,Celibolovi,Celibolem,1,1,0,0,0,0,0,1,1,1,1,1
Celiest,F,3692.0,Celiest,Celiest,Celiest,Celiest,Celiest,Celiest,1,1,0,0,0,1,0,1,1,1,1,1
Celiesta,F,3692.0,Celiesty,Celieste,Celiestu,Celiesto,Celieste,Celiestou,1,1,0,0,0,1,0,1,1,1,1,1
Celieste,F,3692.0,Celieste,Celieste,Celieste,Celieste,Celieste,Celieste,1,1,0,0,0,1,0,1,1,1,1,1
Celina,F,153.0,Celiny,Celine,Celinu,Celino,Celine,Celinou,1,0,0,1,1,1,0,1,1,1,1,1
Celine,F,153.0,Celine,Celine,Celine,Celine,Celine,Celine,1,0,0,0,0,0,0,1,1,1,1,1
Celinia,F,154.0,Celiniy,Celinii,Celiniu,Celinio,Celinie,Celiniou,0,1,0,0,0,0,0,1,1,1,1,1
CelĄnie,F,154.0,CelĄnie,CelĄnii,CelĄnii,CelĄnie,CelĄnii,CelĄniĄ,1,0,0,1,1,1,0,1,1,1,1,1
Celon,M,,Celona,Celonovi,Celona,Celone,Celonovi,Celonem,1,1,0,1,1,1,0,1,1,1,1,1
Celso,M,3127.0,Celsa,Celsovi,Celsa,Celso,Celsovi,Celsem,1,1,0,0,0,1,0,1,1,1,1,1
Cenera,F,3029.0,Cenery,Cenere,Ceneru,Cenero,Cenere,Cenerou,1,1,0,0,0,1,0,1,1,1,1,1
Ceneri,F,3029.0,Ceneri,Ceneri,Ceneri,Ceneri,Ceneri,Ceneri,1,0,0,0,0,1,0,1,1,1,1,1
Ceneri,M,3028.0,Ceneriho,Cenerimu,Ceneriho,Ceneri,Cenerim,Cenerim,1,0,0,0,0,1,0,1,1,1,1,1
Ceneria,F,3029.0,Cenerie,Cenerie,Ceneriu,Cenerio,Cenerie,Ceneriou,1,1,0,0,0,1,0,1,1,1,1,1
Cenerie,F,3029.0,Cenerie,Cenerii,Cenerii,Cenerie,Cenerii,CeneriĄ,1,1,0,0,0,1,0,1,1,1,1,1
Cenrie,F,3029.0,Cenrie,Cenrii,Cenrii,Cenrie,Cenrii,CenriĄ,1,1,0,0,0,1,0,1,1,1,1,1
Cenerius,M,3028.0,Ceneria,Ceneriovi,Ceneria,Cenerie,Ceneriovi,Ceneriem,1,1,0,0,0,1,0,1,1,1,1,1
Cenero,M,3028.0,Cenera,Cenerovi,Cenera,Cenero,Cenerovi,Cenerem,1,1,0,0,0,1,0,1,1,1,1,1
Cenerus,M,3028.0,Cenera,Cenerovi,Cenera,Cenere,Cenerovi,Cenerem,1,1,0,0,0,1,0,1,1,1,1,1
Centar,M,3486.0,Centara,Centarovi,Centara,Centare,Centarovi,Centarem,1,1,0,1,1,1,0,1,1,1,1,1
Centara,F,3487.0,Centary,Centare,Centaru,Centaro,Centare,Centarou,1,1,0,1,1,1,0,1,1,1,1,1
Centaria,F,3487.0,Centarie,Centarie,Centariu,Centario,Centarie,Centariou,1,1,0,0,0,1,0,1,1,1,1,1
Centarie,F,3487.0,Centarie,Centarii,Centarii,Centarie,Centarii,CentariĄ,1,1,0,1,1,1,0,1,1,1,1,1
Centarus,M,3486.0,Centara,Centarovi,Centara,Centare,Centarovi,Centarem,1,1,0,1,1,1,0,1,1,1,1,1
Centeol,F,155.0,Centeol,Centeol,Centeol,Centeol,Centeol,Centeol,1,1,0,0,0,0,0,1,1,1,1,1
Centeol,M,,Centeola,Centeolovi,Centeola,Centeole,Centeolovi,Centeolem,1,1,0,1,0,0,0,1,1,1,1,1
Centeola,F,155.0,Centeoly,Centeole,Centeolu,Centeolo,Centeole,Centeolou,1,1,0,1,0,0,0,1,1,1,1,1
Ceorl,M,,Ceorla,Ceorlovi,Ceorla,Ceorle,Ceorlovi,Ceorlem,1,1,0,0,0,0,0,1,1,1,1,1
Ceredig,M,,Cerediga,Ceredigovi,Cerediga,Ceredigu,Ceredigovi,Ceredigem,1,1,1,0,0,1,0,1,1,1,1,1
Ceres,M,,Cerese,Ceresovi,Cerese,Ceresi,Ceresovi,Ceresem,1,1,0,0,1,0,0,1,1,1,1,1
Cerila,F,2670.0,Cerily,Cerile,Cerilu,Cerilo,Cerile,Cerilou,1,1,0,0,0,1,0,1,1,1,1,1
Cerilia,F,2670.0,Cerilie,Cerilie,Ceriliu,Cerilio,Cerilie,Ceriliou,1,1,0,0,0,0,0,1,1,1,1,1
CerĄlie,F,2670.0,CerĄlie,CerĄlii,CerĄlii,CerĄlie,CerĄlii,CerĄliĄ,1,1,0,0,0,1,0,1,1,1,1,1
Cerilio,M,2671.0,Cerilia,Ceriliovi,Cerilia,Cerilio,Ceriliovi,Ceriliem,1,1,0,0,0,1,0,1,1,1,1,1
CerĄlio,M,2671.0,CerĄlia,CerĄliovi,CerĄlia,CerĄlie,CerĄliovi,CerĄliem,1,1,0,0,0,1,0,1,1,1,1,1
Cerilius,M,2671.0,Cerilia,Ceriliovi,Cerilia,Cerilie,Ceriliovi,Ceriliem,1,1,0,0,0,0,0,1,1,1,1,1
CerĄlius,M,2671.0,CerĄlia,CerĄliovi,CerĄlia,CerĄlie,CerĄliovi,CerĄliem,1,1,0,0,0,1,0,1,1,1,1,1
Cerilla,F,2670.0,Cerilly,Cerille,Cerillu,Cerillo,Cerille,Cerillou,1,1,0,0,0,1,0,1,1,1,1,1
Cerillia,F,2670.0,Cerillie,Cerillie,Cerilliu,Cerillio,Cerillie,Cerilliou,1,1,0,0,0,0,0,1,1,1,1,1
Ceron,M,,Cerona,Ceronovi,Cerona,Cerone,Ceronovi,Ceronem,1,1,0,1,1,1,0,1,1,1,1,1
Cerona,F,,Cerony,Cerone,Ceronu,Cerono,Cerone,Ceronou,1,1,0,1,1,1,0,1,1,1,1,1
Cerrilia,F,2670.0,Cerrilie,Cerrilie,Cerriliu,Cerrilio,Cerrilie,Cerriliou,0,1,0,0,0,0,0,1,1,1,1,1
Cerrillia,F,2670.0,Cerrillie,Cerrillie,Cerrilliu,Cerrillio,Cerrillie,Cerrilliou,0,1,0,0,0,0,0,1,1,1,1,1
Cesare,M,112.0,Cesareho,Cesaremu,Cesareho,Cesare,Cesarem,Cesarem,1,1,0,0,0,1,0,1,1,1,1,1
Cesarea,F,3020.0,Cesarey,Cesaree,Cesareu,Cesareo,Cesaree,Cesareou,1,1,0,0,0,0,0,1,1,1,1,1
Cesareo,M,112.0,Cesarea,Cesareovi,Cesarea,Cesareo,Cesareovi,Cesareem,1,1,0,0,0,1,0,1,1,1,1,1
Cesario,M,112.0,Cesaria,Cesariovi,Cesaria,Cesario,Cesariovi,Cesariem,1,1,0,0,0,1,0,1,1,1,1,1
Ceska,F,,Cesky,Cesce,Cesku,Cesko,Cesce,Ceskou,1,1,0,0,0,1,0,1,1,1,1,1
Cesminia,F,156.0,Cesminie,Cesminii,Cesminii,Cesminie,Cesminii,CesminiĄ,1,1,0,0,0,0,0,1,1,1,1,1
CesmĄnie,F,156.0,CesmĄnie,CesmĄnii,CesmĄnii,CesmĄnie,CesmĄnii,CesmĄniĄ,1,1,0,1,0,0,0,1,1,1,1,1
Cesna,F,,Cesny,Cesne,Cesnu,Cesno,Cesne,Cesnou,1,1,0,1,1,1,0,1,1,1,1,1
Cessarea,F,3020.0,Cessarey,Cessaree,Cessareu,Cessareo,Cessaree,Cessareou,1,1,0,0,0,0,0,1,1,1,1,1
Cester,F,,Cester,Cester,Cester,Cester,Cester,Cester,1,1,0,1,0,1,0,1,1,1,1,1
Cester,M,,Cestera,Cesterovi,Cestera,Cestere,Cesterovi,Cesterem,1,1,0,1,0,1,0,1,1,1,1,1
Ceter,M,3401.0,Cetera,Ceterovi,Cetera,Cetere,Ceterovi,Ceterem,1,1,0,1,1,1,0,1,1,1,1,1
Cetera,F,,Cetery,Cetere,Ceteru,Cetero,Cetere,Ceterou,1,1,0,1,1,1,0,1,1,1,1,1
Ceterus,M,3401.0,Cetera,Ceterovi,Cetera,Cetere,Ceterovi,Ceterem,1,1,0,0,0,1,0,1,1,1,1,1
Czar,M,112.0,Czara,Czarovi,Czara,Czare,Czarovi,Czarem,1,1,0,0,0,1,0,1,1,1,1,1
Cgan,M,2717.0,Cgana,Cganovi,Cgana,Cgane,Cganovi,Cganem,1,1,1,0,0,1,0,1,1,1,1,1
Chad,M,2786.0,Chada,Chadovi,Chada,Chade,Chadovi,Chadem,1,0,1,1,1,1,0,1,1,1,1,1
Chaia,F,,Chaie,Chaie,Chaiu,Chaio,Chaie,Chaiou,1,1,0,0,0,1,0,1,1,1,1,1
Chajman,M,157.0,Chajmana,Chajmanovi,Chajmana,Chajmane,Chajmanovi,Chajmanem,1,1,0,0,0,1,0,1,1,1,1,1
Chajmok,M,,Chajmoka,Chajmokovi,Chajmoka,Chajmoku,Chajmokovi,Chajmokem,1,0,1,1,1,1,1,1,1,1,1,1
Chaka,F,,Chaky,Chace,Chaku,Chako,Chace,Chakou,0,0,1,0,0,1,0,1,1,1,1,1
Chalon,M,,Chalone,Chalonovi,Chalone,Chaloni,Chalonovi,Chalonem,0,0,0,0,0,1,1,1,1,1,1,1
Chambers,M,,Chamberse,Chambersovi,Chamberse,Chambersi,Chambersovi,Chambersem,1,0,0,0,0,1,0,1,1,1,1,1
Chanel,F,3049.0,Chanel,Chanel,Chanel,Chanel,Chanel,Chanel,1,1,0,0,0,1,0,1,1,1,1,1
Chanelle,F,,Chanelle,Chanelle,Chanelle,Chanelle,Chanelle,Chanelle,1,0,0,0,0,1,0,1,1,1,1,1
